Team,OPR,AutoOPR,CCWM
19066,186.2414436788,59.4896190408,61.1846342809
11212,176.3640691273,58.5462298314,44.2259012522
16460,172.3138450908,58.4392141579,59.7362341463
11329,169.0174958356,57.7195851379,55.5235994431
12928,166.63834189,50.1050042096,47.6494272657
12599,164.3278202021,58.0919961517,78.0350307219
10091,163.2593678087,58.7718604282,38.4142850264
18227,159.3603798832,56.2426866446,56.6354107529
8468,158.187051017,55.7854498964,37.0464967115
21229,153.8970640318,60.3387010403,40.7962792702
13093,149.09709856,43.1424780617,55.9788403767
16093,146.3291949482,48.472339078,19.7037620036
11129,144.1160028548,57.8540250634,41.68328552
4250,143.2331711715,52.7805013169,69.3456324906
14470,135.8620976757,50.2274630925,38.2155161288
7258,133.8070985645,45.6216130124,34.9173076111
7149,133.5739817847,45.107537287,32.5108268625
12682,133.1921351924,46.4898955058,20.9273838862
18763,129.7391892147,47.974161235,49.4263069443
19448,129.5179087154,50.0145111928,32.9642823557
5026,128.2105150652,40.3438707688,37.8764676474
7393,127.6427090152,46.0406110445,13.7107912159
8513,126.3672429536,37.6044029802,5.6565229496
18397,125.4199455442,47.7634017552,8.4435645648
19824,123.5887743265,41.0900119777,50.6068999897
6955,120.6398669207,45.9922145927,23.9434929277
8411,113.8773255324,47.7994697032,46.5818115421
8719,113.0799304077,29.683634027,-4.2152486582
23020,109.751959789,38.5611454288,20.5438666372
19819,107.2669316049,31.8982238393,-9.2201541405
8081,103.8070759564,39.3203965577,-1.537271854
19162,99.9756385417,26.4358852482,23.273537664
15145,97.8876145333,32.9116641179,7.3135524203
16290,97.4974236014,36.2830113008,5.3630840628
4029,96.7044605003,31.206461873,-14.7365318397
6699,91.5838370676,30.4306105545,6.9501361406
4137,86.031778707,30.479912273,-2.0703599521
11146,85.1533700748,26.2881059926,-1.8492390721
10662,84.6837614094,32.5585316435,3.3087982193
5741,84.2796660442,32.3073435677,9.5243485653
701,82.7863498439,27.3758304279,-8.33275659
18017,82.2277011934,22.4529817576,-29.7757577875
18984,80.6052712969,21.8649415809,-22.3392679156
20188,79.8845057503,29.0773794,-15.6416419101
25152,79.3388087645,18.4832415657,1.1197572166
2901,77.3128186939,30.9420712306,-20.0985406749
24474,73.2742655462,30.1584275757,-16.8063163565
18422,71.9757029281,19.2066520349,-14.5036789649
7209,68.8722697168,22.8039843521,-25.5081050508
8417,67.2909855323,20.0769955826,-1.6015984324
25192,66.4105038859,21.7052041525,5.1464898755
8721,54.3568610711,14.2362546323,-37.6782865098
16771,51.7710070056,17.158150684,-3.8831271501
16366,36.272228318,11.9627071558,-81.61915027
23112,33.9467765454,8.0512330605,-42.0776762498
24954,28.0979329463,7.2851569905,-63.4202668478
